NORAD ID: 23327	 Latitude: 0.3968349012830952 deg	 Longitude: 69.24034029810035 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23426	 Latitude: -14.759576870187045 deg	 Longitude: -21.235198089402267 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23448	 Latitude: 0.4529972605362816 deg	 Longitude: 71.107996439909 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23467	 Latitude: 9.611299911845684 deg	 Longitude: 172.14977408551505 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23653	 Latitude: 13.666073856333071 deg	 Longitude: 141.92190803811815 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23670	 Latitude: 6.513972633578023 deg	 Longitude: -117.81936100104538 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23680	 Latitude: -0.2306388744204768 deg	 Longitude: 76.89500156545591 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23712	 Latitude: 5.20060057810988 deg	 Longitude: -119.40517631279344 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23741	 Latitude: 8.192589515780666 deg	 Longitude: -124.12858661213039 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23949	 Latitude: -11.542312559657294 deg	 Longitude: 16.65256121396532 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23967	 Latitude: -9.421463873505116 deg	 Longitude: -24.958771959434365 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 24435	 Latitude: -6.315134232011997 deg	 Longitude: 47.670563873328376 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 24936	 Latitude: 4.259711313628895 deg	 Longitude: -71.7547439310639 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 25019	 Latitude: 6.5853702024303775 deg	 Longitude: -111.67674902485156 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 25045	 Latitude: -2.6174097555221683 deg	 Longitude: 62.93161057487223 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 25050	 Latitude: -3.737705520054647 deg	 Longitude: 81.31086998890314 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 25153	 Latitude: 0.9763699028735574 deg	 Longitude: -53.87062692454008 deg	 At 2025-07-06 00:00:00+00:00 UTC 
